OriginalReferenceCode,StandardReferenceCode,AcquisitionType,ReferenceType,OrgCitation,Title,Authors,PublicationDate,Version,OriginalLanguage,ISBN,FirstEditionDate,EditionNumber,NumberofPages,BookTitle,Editors,LongJournalName,AbbreviatedJournalName,ISSN,Volume,Issue,Pages,SeriesName,SeriesNumber,ReportTitle,FileFormat,WWW,DOI,PublicationMedium,OperatingSystem,Validfrom,Remarks,DateOfGeneration,GeneratedBy,DateOfUpdate,UpdatedBy,Citation
1275,,C,R,Tæknitíðindi nr. 156. Rannsóknastofnun fiskiðnaðarins.,Örveru- og efnabreytingar við verkun hákarls.,Hannes Magnússon og Birna Guðbjörnsdóttir,1984-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hannes Magnússon og Birna Guðbjörnsdóttir, 1984. Örveru- og efnabreytingar við verkun hákarls. Tæknitíðindi nr. 156."
1449,,O,AR,Starfshópur um hreinleika mjólkurafurða 1. rit: 47-50.,Þvottaefni og sótthreinsiefni í mjólkuriðnaði.,Ólafur Reykdal,1993-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal, 1993. Þvottaefni og sótthreinsiefni í mjólkuriðnaði. Starfshópur um hreinleika mjólkurafurða 1. rit: 47-50."
1701,,C,R,"Verkfræðingafélag Íslands, ráðstefna íslenskra verkfræðinga 1967, 179-206.",Þróun fiskmjöls- og bollýsisframleiðslunnar. Vinnsla sjávarafla,Vilhjálmur Guðmundsson,1967-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vilhjálmur Guðmundsson, 1967. Þróun fiskmjöls- og bollýsisframleiðslunnar. Vinnsla sjávarafla, Verkfræðingafélag Íslands, ráðstefna íslenskra verkfræðinga 1967, 179-206."
1457,,O,R,"Rannsóknastofnun landbúnaðarins. Fréttabréf 15, 3 bls.",Sveppaeiturefni í matvælum og fóðri,Ólafur Reykdal,1995-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal, 1995. Sveppaeiturefni í matvælum og fóðri. Rannsóknastofnun landbúnaðarins. Fréttabréf 15, 3 bls."
1836,,F,B,Livsmedelsverket.,Livsmedelstabell. Mineralämnen och spårelement.,Livsmedelsverket,1996-01-01 00:00:00.0,,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livsmedelsverket, 1996. Livsmedelstabell. Mineralämnen och spårelement. Livs-medelsverket."
1934,,P,AJ,,Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products,"Mattila, P., V. Piironen, E. Uusi-Rauva, P. Koivistoinen",1995-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,2009-04-17 11:59:19.97,A323\A323,2010-03-28 02:50:35.0,,"Mattila, P., V. Piironen, E. Uusi-Rauva, P. Koivistoinen, 1995. Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. J. Food Comp. Anal. 8: 232-243."
1270,,C,R,Rannsóknastofnun fiskiðnaðarins. Skýrsla.,Ársskýrsla 1983,Rannsóknastofnun fiskiðnaðarins,1984-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rannsóknastofnun fiskiðnaðarins, 1984. Ársskýrsla 1983."
1932,,C,R,Levnedsmiddelstyrelsen. Publikation 193.,Sammenligning af grøntssorter /2,Okholm-Hansen & T. Leth,1990-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okholm-Hansen & T. Leth, 1990. Sammenligning af grøntssorter /2. Levnedsmiddelstyrelsen. Publikation 193."
1445,,O,R,"Fjölrit RALA nr. 150, fæðudeild 11. rit.",Vörulýsingar fyrir unnar kjötvörur,Guðjón Þorkelsson og Ragnheiður Héðinsdóttir,1991-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guðjón Þorkelsson og Ragnheiður Héðinsdóttir, 1991. Vörulýsingar fyrir unnar kjötvörur. Fjölrit RALA nr. 150, fæðudeild 11. rit."
1929,,P,AJ,Cereal Chemistry 66 (4): 270-273.,Carotenoids and retinoids in Finnish foods: Cereal and bakery products,"Heinonen, M., Ollilainen, V., E. Linkola, P. Varo & P. Koivistoinen",1989-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heinonen, M., Ollilainen, V., E. Linkola, P. Varo & P. Koivistoinen, 1989. Carotenoids and retinoids in Finnish foods: Cereal and bakery products. Cereal Chemistry 66 (4): 270-273."
1614,,L,P,,,,1990-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Nathan & Olsen,,,2010-03-09 04:43:26.0,,Nathan & Olsen hf.
1427,,C,R,"Fjölrit RALA nr. 122, fæðudeild 7. rit.",Nýting á skyrmysu. Trúnaðarskýrsla til Mjólkurbús Flóamanna.,Elín Hilmarsdóttir,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elín Hilmarsdóttir, 1987. Nýting á skyrmysu. Trúnaðarskýrsla til Mjólkurbús Flóamanna. Fjölrit RALA nr. 122, fæðudeild 7. rit."
1921,,C,R,"Levnedsmiddelstyrelsen, publikation nr. 206. Søborg, Danmark.",Indhold af folacin i levnedsmidler,"Okholm-Hansen, B., C.H. Brogren",1991-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okholm-Hansen, B., C.H. Brogren, 1991. Indhold af folacin i levnedsmidler. Levnedsmiddelstyrelsen, publikation nr. 206. Søborg, Danmark."
1420,,O,R,"Fjölrit RALA nr. 106, fæðudeild 3. rit.",Rannsókn á unnum kjötvörum.,"Ólafur Reykdal, Guðjón Þorkelsson, Garðar Sigurþórsson, Ágúst Ó. Sigurðsson, Elín Hilmarsdóttir, Dóróthea Jóhannsdóttir og Jón Óttar Ragnarsson",1984-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal, Guðjón Þorkelsson, Garðar Sigurþórsson, Ágúst Ó. Sigurðsson, Elín Hilmarsdóttir, Dóróthea Jóhannsdóttir og Jón Óttar Ragnarsson, 1984. Rannsókn á unnum kjötvörum. Fjölrit RALA nr. 106, fæðudeild 3. rit."
1004,,E,E,,,,1987-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,Bráðabirgðagildi sem þarf að endurnýja sem fyrst.,,,2010-03-09 02:57:38.0,,Bráðabirgðagildi sem þarf að endurnýja sem fyrst.
1422,,O,R,Rannsóknastofnun landbúnaðarins,Næringarefni í mjólkurafurðum og ávaxtasöfum. Efnagreiningar fyrir Mjólkursamsöluna.,Ólafur Reykdal,1985-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal, 1985. Næringarefni í mjólkurafurðum og ávaxtasöfum. Efna-greiningar fyrir Mjólkursamsöluna."
1236,,C,R,Tæknitíðindi nr. 17. Rannsóknastofnun fiskiðnaðarins.,Efnagreiningar á hrognkelsum,Júlíus Guðmundsson og Jónas Bjarnason,1973-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Júlíus Guðmundsson og Jónas Bjarnason, 1973. Efnagreiningar á hrognkelsum. Tæknitíðindi nr. 17."
1431,,C,P,Rannsóknastofnun landbúnaðarins,Óbirtar niðurstöður efnagreininga 1980-89.,Ragnheiður Héðinsdóttir,1980-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:29:42.0,,Ragnheiður Héðinsdóttir. Óbirtar niðurstöður efnagreininga 1980-89.
1122,,P,AJ,Acta pharmacol. et toxicol. 51: 397-400.,Organochlorine compounds in Icelandic lake trout and salmon fry: Local and global sources of contamination.,Jóhannes F. Skaftason and Þorkell Jóhannesson,1982-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jóhannes F. Skaftason and Þorkell Jóhannesson, 1982. Organochlorine compounds in Icelandic lake trout and salmon fry: Local and global sources of contamination. Acta pharmacol. et toxicol. 51: 397-400."
1005,,E,E,,,,1987-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,Áætlað gildi á grundvelli ýmissa upplýsinga eða út frá skyldum fæðutegundum.,,,2010-03-09 02:55:26.0,,Áætlað gildi á grundvelli ýmissa upplýsinga eða út frá skyldum fæðutegundum.
1135,,C,P,Raunvísindastofnun Háskóla Íslands.,Óbirt gögn um steinefnainnihald vatns frá Raunvísindastofnun Háskólans,Sigurður R. Gíslason,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sigurður R. Gíslason, 1987. Gögn um steinefnainnihald vatns frá Raunvísindastofnun Háskólans."
1131,,P,AJ,Íslenskar landbúnaðarrannsóknir 12 (1): 3-10.,Þungmálmar í íslensku grasi.,Björn Guðmundsson og Þorsteinn Þorsteinsson,1980-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Björn Guðmundsson og Þorsteinn Þorsteinsson, 1980. Þungmálmar í íslensku grasi. Íslenskar landbúnaðarrannsóknir 12 (1): 3-10."
1249,,C,AJ,Tímarit Verkfræðingafélags Íslands 60 (4-6): 73-75.,Efnarannsóknir á fiski og fiskafurðum.,Björn Dagbjartsson,1975-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Björn Dagbjartsson, 1975. Efnarannsóknir á fiski og fiskafurðum. Tímarit Verkfræðingafélags Íslands 60 (4-6): 73-75."
1291,,C,R,Handbók fiskvinnslunnar. 2. útgáfa. Rannsóknastofnun fiskiðnaðarins.,Saltfiskverkun,Jónas Bjarnason,1986-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jónas Bjarnason, 1986. Saltfiskverkun. Handbók fiskvinnslunnar. 2. útgáfa. Rannsóknastofnun fiskiðnaðarins."
1607,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Sölusamband íslenskra fiskframleiðenda,,,2010-03-09 04:40:33.0,,Sölusamband íslenskra fiskframleiðenda
1400,,O,P,Fæðudeild Rala og Matra,Gögn frá fæðudeild Rala og Matra,"Rannsóknastofnun landbúnaðarins, Matra",1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Lítil gagnasöfn og mæliniðurstöður á blöðum.,2009-09-09 08:40:31.833,,2010-04-10 08:27:16.0,,Gögn frá fæðudeild Rala og Matra. Lítil gagnasöfn og niðurstöðublöð.
1842,,F,B,Livsmedelsverket. Uppsala.,Livsmedeltabell. Energi och näringsämnen 2002,"Arnemo, M., W. Becker, L. Bergström, H.E. Barbieri, M. Munoz, E.-M. Ohlander, I. Torelm",2001-01-01 00:00:00.0,,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arnemo, M., W. Becker, L. Bergström, H.E. Barbieri, M. Munoz, E.-M. Ohlander, I. Torelm, 2001. Livsmedeltabell. Energi och näringsämnen 2002. Livsmedelsverket. Uppsala."
1802,,F,B,"H.M.S.O., London.","McCance and Widdowson's: The composition of foods, 4th edition,","Paul, A.A., D.A.T. Southgate, (ed.)",1978-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paul, A.A., D.A.T. Southgate, (ed.), 1978. McCance and Widdowson's: The composition of foods, 4th edition, H.M.S.O., London."
1806,,F,JI,"Acta Agriculturae Scandinavica, Supplementum 22, Stockholm.",Mineral element composition of Finnish food.,"Koivistoinen, P",1980-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Koivistoinen, P., 1980. Mineral element composition of Finnish food. Acta Agriculturae Scandinavica, Supplementum 22, Stockholm."
1801,,F,B,"Levnedsmiddelstyrelsen, Storkøkkencentret, Søborg, Danmark.",Levnedsmiddeltabeller 1989. 3. útg.,"Møller, A.",1989-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Møller, A., 1989. Levnedsmiddeltabeller 1989. 3. útg. Levnedsmiddelstyrelsen, Storkøkkencentret, Søborg, Danmark."
1822,,F,B,,Kostvurderingstabeller over grønlandske fødevarer.,"Helms, P",1983-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-09 05:14:00.0,,"Helms, P. Kostvurderingstabeller over grønlandske fødevarer."
1280,,C,R,Tæknitíðindi nr. 160. Rannsóknastofnun fiskiðnaðarins.,Fitu- og þurrefnismælingar á loðnu,"Ásbjörn Dagbjartsson, Áslaug Bergsdóttir",1985-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ásbjörn Dagbjartsson, Áslaug Bergsdóttir, 1985. Fitu- og þurrefnismælingar á loðnu. Tæknitíðindi nr. 160."
1920,,C,R,"Levnedsmiddelstyrelsen, publikation nr. 210. Søborg, Danmark.","Overvågningssystem for næringsstoffer. Brød og cerealier, 2. runde","Jacobsen, J.S., T. Leth",1992-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacobsen, J.S., T. Leth, 1992. Overvågningssystem for næringsstoffer. Brød og cerealier, 2. runde. Levnedsmiddelstyrelsen, publikation nr. 210. Søborg, Danmark."
1916,,P,AJ,Tidsskrift for Hermetikindustri 11: 405-412.,Næringsverdi og vitaminer i norsk fisk og fiskevarer.,"Taarland, T., E. Mathiesen, Ø. Øvsthus, O. R. Brækkan",1958-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taarland, T., E. Mathiesen, Ø. Øvsthus, O. R. Brækkan, 1958. Næringsverdi og vitaminer i norsk fisk og fiskevarer. Tidsskrift for Hermetikindustri 11: 405-412."
1118,,P,AJ,Acta Endocrinologia 46: 679-683.,Studies of iodine metabolism in Iceland.,"Alexander, W.D.; Th. Veiger Gudmundsson; M.M. Bluhm, R.McG. Harden",1964-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alexander, W.D.; Th. Veiger Gudmundsson; M.M. Bluhm, R.McG. Harden, 1964. Studies of iodine metabolism in Iceland. Acta Endocrinologia 46: 679-683."
1931,,P,AJ,Journal of food composition and analysis 1: 303-308.,Chromium content of selected breakfast cereals,"Anderson, R.A., N.A. Bryden & M.M. Polansky",1988-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson, R.A., N.A. Bryden & M.M. Polansky, 1988. Chromium content of selected breakfast cereals. Journal of food composition and analysis 1: 303-308."
1620,,L,P,,,,2000-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Kornax hf.,,,2010-03-09 04:32:36.0,,Kornax hf.
1248,,C,R,Tæknitíðindi nr. 53. Rannsóknastofnun fiskiðnaðarins.,Samanburður á fituinnihaldi og geymsluþoli steinbíts og hlýra í frosti.,Björn Dagbjartsson,1974-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Björn Dagbjartsson, 1974. Samanburður á fituinnihaldi og geymsluþoli steinbíts og hlýra í frosti. Tæknitíðindi nr. 53."
1612,,L,P,,,,1990-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Gunnar Kvaran hf.,,,2010-03-09 04:42:49.0,,Gunnar Kvaran hf.
1437,,O,R,"Háskóli Íslands, matvælafræðiskor og Rannsóknastofnun landbúnaðarins. Skýrsla um námsverkefni.",Næringar og efnainnihald í brauðum og kökum.,Níels Rafn Guðmundsson,1988-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Níels Rafn Guðmundsson, 1988. Næringar og efnainnihald í brauðum og kökum. Nemendaverkefni. Háskóli Íslands og Rannsóknastofnun landbúnaðarins."
1244,,C,R,Tæknitíðindi nr. 41. Rannsóknastofnun fiskiðnaðarins.,Kvikasilfur í fiski,Geir Arnesen,1974-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geir Arnesen, 1974. Kvikasilfur í fiski. Tæknitíðindi nr. 41."
1625,,L,P,,,,2000-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Myllan – Brauð hf.,,,2010-03-09 04:36:19.0,,Myllan – Brauð hf.
1451,,O,R,Rannsóknastofnun landbúnaðarins,Niðurstöður úr verkefninu Gagnagrunnur um efnainnihald matvæla 1995-96.,Ólafur Reykdal,1995-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:32:41.0,,Ólafur Reykdal. Niðurstöður úr verkefninu Gagnagrunnur um efnainnihald matvæla 1995-96.
1820,,F,B,"Levnedsmiddelstyrelsen, Storkøkkencentret, Søborg, Danmark.","Levnedsmiddeltabeller - Aminosyrer, kulhydrater og fedtsyrer i danske levnedsmidler 1989","Møller, A., E. Saxholt, B.E. Mikkelsen",1991-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Møller, A., E. Saxholt, B.E. Mikkelsen. 1991. Levnedsmiddeltabeller - Aminosyrer, kulhydrater og fedtsyrer i danske levnedsmidler 1989. Levnedsmiddelstyrelsen, Storkøkkencentret, Søborg, Danmark."
1606,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Sól hf.,,,2010-03-09 04:40:11.0,,Sól hf.
1107,,D,AR,"Rit landbúnaðardeildar, A - flokkur, nr. 9. Atvinnudeild Háskóla Íslands.",Samanburður á kartöfluafbrigðum 1948 til 1953.,Sturla Friðriksson,1954-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sturla Friðriksson, 1954. Samanburður á kartöfluafbrigðum 1948 til 1953. Rit landbúnaðardeildar, A - flokkur, nr. 9."
1214,,C,AR,"Vinnsla sjávarafla, Verkfræðingafélag Íslands, ráðstefna íslenskra verkfræðinga 1967: 247-261.",Nýting á slógi.,Geir Arnesen og Hjalti Einarsson,1967-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geir Arnesen og Hjalti Einarsson, 1967. Nýting á slógi. Vinnsla sjávarafla, Verkfræðingafélag Íslands, ráðstefna íslenskra verkfræðinga 1967: 247-261."
1501,,C,AR,Rannsóknastofnun iðnaðarins,Efnagreining neysluvatns. Iðnaðarmál.,Gunnlaugur Elísson,1900-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnlaugur Elísson. Efnagreining neysluvatns. Iðnaðarmál.
1212,,C,P,Rannsóknastofnun fiskiðnaðarins,Óbirt: Vatnsákvörðun á þorskhrognum.,Geir Arnesen,1967-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geir Arnesen, 1967. Vatnsákvörðun á þorskhrognum."
1933,,P,AJ,JAOCS 62 (8): 1245-1248.,Tocopherols and tocotrienols in Finnish foods: Fish and fish products.,"Syväoja, E.L. & K. Salminen",1985-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Syväoja, E.L. & K. Salminen, 1985. Tocopherols and tocotrienols in Finnish foods: Fish and fish products. JAOCS 62 (8): 1245-1248."
1458,,P,AJ,Food Additives and Contaminants 18 (11): 960-969.,"Cadmium, mercury, iron, copper, manganese and zink in livers and kidneys of Icelandic lambs",Ólafur Reykdal & Arngrímur Thorlacíus,2201-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal og Arngrímur Thorlacíus, 1995. Þungmálmar í lifrum og nýrum íslenskra lamba. Fréttabréf RALA nr. 16."
1935,,X,X,Laust,,,2000-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-24 15:19:49.717,A323\A323,2010-06-23 10:20:38.0,,Laust
1006,,E,E,,,,1987-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,Gildi tekið úr gögnum fyrir skylda fæðutegund í íslensku töflunum.,,,2010-03-09 02:58:13.0,,Gildi tekið úr gögnum fyrir skylda fæðutegund í íslensku töflunum.
1219,,C,R,Rannsóknastofnun fiskiðnaðarins,Skýrsla um starfsemi 1969.,Rannsóknastofnun fiskiðnaðarins,1970-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rannsóknastofnun fiskiðnaðarins, 1970. Skýrsla um starfsemi 1969."
1104,,D,AR,Mataræði og heilsufar á Íslandi. 1943. Rannsóknir Manneldisráðs. Reykjavík.,Efnagreiningar nokkurra matvæla,Trausti Ólafsson,1943-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trausti Ólafsson, 1943. Efnagreiningar nokkurra matvæla. Í „Mataræði og heilsufar á Íslandi."" Rannsóknir Manneldisráðs. Reykjavík."
1428,,O,R,"Fjölrit RALA nr. 125, fæðudeild 8. rit.",Mælingar á vatnsleysanlegum vítamínum,Ólafur Reykdal,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal, 1987. Mælingar á vatnsleysanlegum vítamínum. Fjölrit RALA nr. 125, fæðudeild 8. rit."
1116,,P,AJ,"The Lancet, November 6: 1017-1022.",Diabetes produced in mice by smoked / cured mutton.,"Þórir Helgason, S.W.B. Ewen, I.S. Ross, J.M. Stowers",1982-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þórir Helgason, S.W.B. Ewen, I.S. Ross, J.M. Stowers, 1982. Diabetes produced in mice by smoked / cured mutton. The Lancet, November 6: 1017-1022."
1252,,C,R,Tæknitíðindi nr. 70. Rannsóknastofnun fiskiðnaðarins,Efnagreining og bragðprófun á nokkrum sjaldgæfum fisktegundum,Júlíus Guðmundsson og Erla Salómonsdóttir,1976-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Júlíus Guðmundsson og Erla Salómonsdóttir, 1976. Efnagreining og bragðprófun á nokkrum sjaldgæfum fisktegundum. Tæknitíðindi nr. 70."
1713,,C,P,Yfirdýralæknisembættið,Óbirtar niðurstöður efnagreininga á aðskotaefnum í sláturafurðum.,Brynjólfur Sandholt,1991-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brynjólfur Sandholt, 1991. Óbirtar niðurstöður efnagreininga á aðskotaefnum í sláturafurðum."
1831,,F,B,Livsmedelsverket.,Livsmedelstabell. Energi och näringsämnen.,Livsmedelsverket,1996-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livsmedelsverket, 1996. Livsmedelstabell. Energi och näringsämnen. Livsmedelsverket."
1233,,C,R,Tæknitíðindi nr.15. Rannsóknastofnun fiskiðnaðarins.,Grálúða.,Júlíus Guðmundsson,1972-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Júlíus Guðmundsson, 1972. Grálúða. Tæknitíðindi nr.15."
1823,,F,B,"Statens livsmedelsverk, Uppsala.",Livsmedelstabell. Energi och näringsämnen,Statens livsmedelsverk,1993-01-01 00:00:00.0,,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,"Statens livsmedelsverk, 1993. Livsmedelstabell. Energi och näringsämnen. Statens livsmedelsverk, Uppsala."
1237,,C,R,Tæknitíðindi nr. 24. Rannsóknastofnun fiskiðnaðarins.,Mælingar á bræðsluhráefni,Jóhann Guðmundsson,1973-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jóhann Guðmundsson, 1973. Mælingar á bræðsluhráefni. Tæknitíðindi nr. 24."
1441,,P,AB,"Nutritional Impact of Food Processing, (Ritstj. J.C. Somogy & H.R. Müller), Bibl Nutr Dieta 43. bls. 188-198, Karger, Basel.",The effect of processing on the content of poly-cyclic aromatic hydrocarbons and volatile N-nitroso-amines in cured and smoked lamb meat,Guðjón Þorkelsson,1989-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-10 04:52:40.0,,"Guðjón Þorkelsson, 1989. The effect of processing on the content of poly-cyclic aromatic hydrocarbons and volatile N-nitroso-amines in cured and smoked lamb meat. Í: Nutritional Impact of Food Processing, (Ritstj. Somogy, J.C.& Müller), bls. 188-198, Karger, Basel."
1826,,F,B,"The Royal Society of Chemistry & Ministry of Agriculture, Fisheries and Food.",Milk Products and Eggs. The fourth Supplement to McCance and Widdowson’s The Composition of Foods. 4. útg.,"Holland, B., I.D. Unwin & D.H. Buss",1989-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland, B., I.D. Unwin & D.H. Buss, 1989. Milk Products and Eggs. The fourth Supplement to McCance and Widdowson’s The Composition of Foods. 4. útg. The Royal Society of Chemistry & Ministry of Agriculture, Fisheries and Food."
1911,,P,AJ,Journal of Food Composition and Analysis 1: 334-340.,Carotenoids and retinoids in Finnish foods: Dietary fats.,"Heinonen, M., V. Ollilainen, E. Linkola, P. Varo, Koivistoinen",1988-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heinonen, M., V. Ollilainen, E. Linkola, P. Varo, Koivistoinen, 1988. Carotenoids and retinoids in Finnish foods: Dietary fats. Journal of Food Composition and Analysis 1: 334-340."
1602,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Lýsi hf. Niðurstöður efnagreininga og upplýsingar.,,,2010-03-09 04:38:49.0,,Lýsi hf. Niðurstöður efnagreininga og upplýsingar.
1001,,E,E,,,,1987-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,Núll-gildi sett þótt örlítið magn sé greinanlegt. Magnið var undir greiningarmörkum þeirrar aðferðar sem notuð var.,,,2010-03-09 02:57:07.0,,Núll-gildi sett þótt örlítið magn sé greinanlegt. Magnið var undir greiningarmörkum þeirrar aðferðar sem notuð var.
1239,,C,R,Tæknitíðindi nr. 34. Rannsóknastofnun fiskiðnaðarins.,Efnagreining á verkuðum hákarli,Össur Kristinsson,1973-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Össur Kristinsson, 1973. Efnagreining á verkuðum hákarli. Tæknitíðindi nr. 34."
1124,,P,AJ,Cancer 23 (2): 455-457.,Polycyclic hydrocarbons in commercially and home-smoked food in Iceland.,Þorsteinn Þorsteinsson,1969-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þorsteinn Þorsteinsson, 1969. Polycyclic hydrocarbons in commercially and home-smoked food in Iceland. Cancer 23 (2): 455-457."
1718,,C,R,Umhverfisráðuneytið. 137 s.,Mengunarmælingar í sjó við Ísland. Lokaskýrsla.,"Magnús Jóhannesson, Jón Ólafsson, Sigurður M. Magnússon, Davíð Egilsson, Steinþór Sigurðsson, Guðjón Atli Auðunsson, og Stefán Einarsson",1995-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magnús Jóhannesson, Jón Ólafsson, Sigurður M. Magnússon, Davíð Egilsson, Steinþór Sigurðsson, Guðjón Atli Auðunsson, og Stefán Einarsson, 1995. Mengunarmælingar í sjó við Ísland. Lokaskýrsla. Umhverfisráðuneytið. 137 s."
1269,,C,R,"Fjölrit Rannsóknastofnunar fiskiðnaðarins, 5. rit.",Örverugróður í skreið,Grímur Valdimarsson og Birna Guðbjörnsdóttir,1982-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grímur Valdimarsson og Birna Guðbjörnsdóttir, 1982. Örverugróður í skreið. Fjölrit Rannsóknastofnunar fiskiðnaðarins, 5. rit."
